,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Description,Metric
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388469,Lisa Schepper,"a woman in a black dress, they are i don't know, they are both in their mid-20, they are dark brown hair color, they're all brown",0.5923926
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7555357,William J. Allgood,"an older man with a mustache, they are both white, they are both in their 90s, they are the hair color of the man in hair color, they are both brown-eyed",0.51735425
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9528774,A.C. Costa,"the plaque that was placed on the wall, they are a mix of the, they are the oldest of the three is ca, they are all black, they are brown",0.4450031
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,705510,Paula Rudy,"a woman posing for a photo, they are white, they are i'm not sure, but i think, they are blonde hair color, they are a medium brown",0.6565425
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1275621,Mike Mitchell,"a poster with the words nnd on it, they're all white, they're all in their 20s, they're all blonde, they're all brown",0.5448093
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4442890,Lynn Richards,"the grave of king rivarra, they are king richard iii, they are king richard iii, they are the hair color of the king and hair color, they are brown",0.72967345
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5726181,Mikael Kalin,"a man in a suit, they are white, they are 18 years old, they are blonde hair color, they are blue eye color",0.6353842
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1159192,Agata Vodnicka,"a woman with blue eyes, they are caucasian, they are i don't know, i don't, they are blonde hair color, they are blue eye color",0.5865813
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3461997,Peter Selbst,"a man in a suit, they are both white, they are both in their mid-tw, they are the hair color of the man in hair color, they are both brown",0.3784487
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11336435,Jesse Bell,"a plaque that reads jess bell, they are jess bell, they are jess bell, they are jess bell hair color, they are jess bell eye color",0.64808756
